ID_Filial,Nome,Localizacao
001,Alpha Energia,"Fortaleza, RS"
002,Beta Serviços,"Belo Horizonte, RS"
003,Teta Soluções,"Maceió, RJ"
004,Alpha Construções,"Rio de Janeiro, AM"
005,Sigma Distribuidora,"Goiânia, BA"
006,Delta Moda,"Porto Alegre, PR"
007,Kappa Eletrônicos,"Cuiabá, DF"
008,Omega Saúde,"Goiânia, PB"
009,Rho Empreendimentos,"Cuiabá, AM"
010,Sigma Petshop,"Cuiabá, CE"
011,Phi Comércio Internacional,"Recife, RS"
012,Chi Indústrias,"Belo Horizonte, RN"
013,Zeta Alimentos,"São Paulo, PB"
014,Lambda Esportes,"Aracaju, DF"
015,Tau Turismo,"Natal, MT"
016,Delta Educacional,"Curitiba, PR"
017,Delta Vendas,"Florianópolis, MT"
018,Gamma Transportes,"Natal, PA"
019,Omega Tech,"Manaus, GO"
020,Epsilon Agro,"Manaus, AM"
021,Phi Tecnologia,"Brasília, PR"
022,Alpha Comércio,"Curitiba, SP"
023,Psi Cosméticos,"Natal, GO"
024,Kappa Veículos,"Belém, RJ"
025,Sigma Ferragens,"Campinas, PA"
026,Chi Aluguel de Máquinas,"Natal, RJ"
027,Phi Consultoria,"Maceió, MT"
028,Epsilon Serviços,"Manaus, CE"
029,Zeta Distribuidora,"Florianópolis, RN"
030,Teta Design,"Rio de Janeiro, SE"
031,Gamma Tecidos,"Aracaju, DF"
032,Zeta Móveis,"Curitiba, AL"
033,Lambda Automação,"Vitória, PB"
034,Beta Construtora,"Porto Alegre, MT"
035,Psi Eletrônicos,"Belém, SC"
036,Kappa Atacadista,"Belém, MT"
037,Omega Fashion,"Fortaleza, ES"
038,Psi Alimentação,"Maceió, SE"
039,Tau Serviços Globais,"Brasília, PR"
040,Gamma Equipamentos,"Campinas, ES"
041,Epsilon Mercados,"João Pessoa, RS"
042,Delta Eletro,"Manaus, AM"
043,Lambda Digital,"Manaus, SE"
044,Gamma Shop,"Belo Horizonte, PE"
045,Chi Engenharia,"Rio de Janeiro, CE"
046,Alpha Eletrônica,"Curitiba, BA"
047,Tau Logística,"Porto Alegre, DF"
048,Sigma Store,"Belém, PA"
049,Xi Sistemas,"Salvador, SE"
050,Beta Automóveis,"Fortaleza, DF"
